activity_id,launch_time,initial_speed_kms,observed_transit_hours,arrival_time_hours,error_hours,termination_reason,shock_arrived,n_missing_hours,density_coverage,gamma_eff_mean,gamma_eff_final
2026-03-26T21:24:00-CME-001,2026-03-26T21:24:00.0000000Z,355.0,134.083,,,timeout,0,0,1.000,1.422354E-08,2.135438E-08
2026-03-27T23:12:00-CME-001,2026-03-27T23:12:00.0000000Z,417.0,108.283,,,timeout,0,0,1.000,1.645025E-08,9.063044E-09
2026-03-28T01:26:00-CME-001,2026-03-28T01:26:00.0000000Z,397.0,106.050,,,timeout,0,0,1.000,1.639953E-08,9.399795E-09
2026-03-28T17:09:00-CME-001,2026-03-28T17:09:00.0000000Z,300.0,141.883,,,timeout,0,0,1.000,1.604501E-08,1.053043E-08
2026-03-28T23:48:00-CME-001,2026-03-28T23:48:00.0000000Z,511.0,83.683,,,timeout,0,0,1.000,1.580623E-08,1.317828E-08
2026-03-29T05:12:00-CME-001,2026-03-29T05:12:00.0000000Z,515.0,78.283,,,timeout,0,0,1.000,1.490299E-08,1.131117E-08
2026-03-29T11:12:00-CME-001,2026-03-29T11:12:00.0000000Z,505.0,72.283,,,timeout,0,0,1.000,1.375186E-08,3.677257E-08
2026-03-30T03:24:00-CME-001,2026-03-30T03:24:00.0000000Z,1689.0,56.083,32.000,-24.083,target_reached,0,0,1.000,1.029055E-08,7.700538E-09
2026-03-30T21:15:00-CME-001,2026-03-30T21:15:00.0000000Z,768.0,38.233,54.000,15.767,target_reached,0,0,1.000,1.583379E-08,2.253104E-08
2026-03-30T21:30:00-CME-001,2026-03-30T21:30:00.0000000Z,942.0,37.983,46.000,8.017,target_reached,0,0,1.000,1.325419E-08,3.588072E-08
2026-04-01T00:24:00-CME-001,2026-04-01T00:24:00.0000000Z,525.0,62.633,,,timeout,0,0,1.000,1.395038E-08,4.856613E-09
2026-04-01T02:36:00-CME-001,2026-04-01T02:36:00.0000000Z,573.0,60.433,,,timeout,0,0,1.000,1.380662E-08,7.757659E-09
2026-04-01T05:09:00-CME-001,2026-04-01T05:09:00.0000000Z,622.0,57.883,69.000,11.117,target_reached,0,0,1.000,1.392955E-08,7.711164E-09
2026-04-01T23:45:00-CME-001,2026-04-01T23:45:00.0000000Z,1220.0,39.283,42.000,2.717,target_reached,0,0,1.000,9.593176E-09,1.027562E-08
