activity_id,launch_time,initial_speed_kms,observed_transit_hours,arrival_time_hours,error_hours,termination_reason,shock_arrived,n_missing_hours,density_coverage,gamma_eff_mean,gamma_eff_final
2026-03-25T06:48:00-CME-001,2026-03-25T06:48:00.0000000Z,267.000,172.683,,,timeout,0,1,1.000,6.452070E-009,2.000000E-008
2026-03-25T15:48:00-CME-001,2026-03-25T15:48:00.0000000Z,295.000,163.683,,,timeout,0,1,1.000,6.591763E-009,2.000000E-008
2026-03-26T21:24:00-CME-001,2026-03-26T21:24:00.0000000Z,355.000,134.083,,,timeout,0,1,1.000,9.798389E-009,2.000000E-008
2026-03-27T23:12:00-CME-001,2026-03-27T23:12:00.0000000Z,417.000,108.283,,,timeout,0,1,1.000,1.355325E-008,2.000000E-008
2026-03-28T01:26:00-CME-001,2026-03-28T01:26:00.0000000Z,397.000,106.050,,,timeout,0,1,1.000,1.366898E-008,2.000000E-008
2026-03-28T17:09:00-CME-001,2026-03-28T17:09:00.0000000Z,300.000,141.883,,,timeout,0,1,1.000,1.448513E-008,2.000000E-008
2026-03-28T23:48:00-CME-001,2026-03-28T23:48:00.0000000Z,511.000,83.683,,,timeout,0,1,1.000,1.493362E-008,2.000000E-008
2026-03-29T05:12:00-CME-001,2026-03-29T05:12:00.0000000Z,515.000,78.283,,,timeout,0,1,1.000,1.509313E-008,2.000000E-008
2026-03-29T11:12:00-CME-001,2026-03-29T11:12:00.0000000Z,505.000,72.283,,,timeout,0,1,1.000,1.528118E-008,2.000000E-008
2026-03-30T03:24:00-CME-001,2026-03-30T03:24:00.0000000Z,1689.000,56.083,35.082,-21.001,target_reached,0,0,1.000,1.324922E-008,1.793314E-008
2026-03-30T21:15:00-CME-001,2026-03-30T21:15:00.0000000Z,768.000,38.233,56.789,18.555,target_reached,0,0,1.000,2.138979E-008,4.738713E-008
2026-03-30T21:30:00-CME-001,2026-03-30T21:30:00.0000000Z,942.000,37.983,48.483,10.500,target_reached,0,0,1.000,1.935906E-008,4.808808E-008
2026-04-01T00:24:00-CME-001,2026-04-01T00:24:00.0000000Z,525.000,62.633,,,timeout,0,1,1.000,1.929993E-008,2.000000E-008
2026-04-01T02:36:00-CME-001,2026-04-01T02:36:00.0000000Z,573.000,60.433,,,timeout,0,1,1.000,1.900221E-008,2.000000E-008
2026-04-01T05:09:00-CME-001,2026-04-01T05:09:00.0000000Z,622.000,57.883,69.749,11.866,target_reached,0,0,1.000,1.867431E-008,2.343729E-009
2026-04-01T23:45:00-CME-001,2026-04-01T23:45:00.0000000Z,1220.000,39.283,48.324,9.041,target_reached,0,0,1.000,1.415398E-008,3.152000E-009
